nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
ANTONIA PASSOS DE ARAUJO,PR,PT,1485,29915.67,5,19,3e3,0,10900,1020,55,FEMININO,SUPERIOR COMPLETO,0.1002818923995351,0.36435754238497753,0,0.03409584341584193,7865950,1.8878838538256663e-4
UILSON MAGALHAES SILVA,BA,PSOL,1330,6363.9,2,15,0,0,250,6570,39,MASCULINO,SUPERIOR COMPLETO,0,0.0392840868021182,0,1.0323858011596663,10185417,1.305788462072785e-4
OSVALDO GOMES PACHECO,PA,PMDB,745,1122.43,3,5,0,0,100,100,68,MASCULINO,SUPERIOR COMPLETO,0,0.08909241556266315,0,0.08909241556266315,5188450,1.4358816216789215e-4
ADERVAL ROCHA TENÓRIO,AL,PRTB,19392,139719.67,12,144,69400,0,70350,0,27,MASCULINO,SUPERIOR INCOMPLETO,0.496708874276614,0.5035082032472593,0,0,1995727,0.009716759857435411
RAIMUNDO MELO SAMPAIO,CE,PROS,46649,410478.88,4,147,2e5,2e5,0,1e4,54,MASCULINO,ENSINO MÉDIO COMPLETO,0.4872357866499733,0,0.4872357866499733,0.024361789332498666,6271554,0.007438188366073226
NELSON ROBERTO BUGALHO,SP,PV,49910,871523.29,49,879,407842.5,11e4,319950,25e3,51,MASCULINO,SUPERIOR COMPLETO,0.4679651188667603,0.36711583462101166,0.12621578936806152,0.028685406674559436,31998432,0.0015597639284324932
SIDNEY DE OLIVEIRA LIMA,MG,PT do B,463,6829.7,5,8,0,0,2100,3450,43,MASCULINO,SUPERIOR COMPLETO,0,0.3074805628358493,0,0.5051466389446095,15248681,3.0363281912711007e-5
AUREO LIDIO MOREIRA RIBEIRO,RJ,SD,58117,2674784.09,40,1674,53e3,2422640.47,42e3,124500,35,MASCULINO,ENSINO MÉDIO COMPLETO,0.019814683434878664,0.01570220196726234,0.9057330941429371,0.04654581297438479,12141145,0.004786780818448342
REGINALDO ALVES DE SANTANA,RJ,DEM,639,3667.5,1,5,0,3667.5,0,0,55,MASCULINO,SUPERIOR COMPLETO,0,0,1,0,12141145,5.263095037576769e-5
ANDERSON DOS SANTOS SILVA,SP,PSDB,3302,6667.46,5,11,250,0,700,8,40,MASCULINO,SUPERIOR COMPLETO,0.037495538030974315,0.10498750648672808,0,0.001199857216991178,31998432,1.0319255643526533e-4
